profile_id,brand_name,reason
USR00001,빨간펜 수학의 달인,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00002,잉글리시브레인스튜디오,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00003,가치인 독서논술&디베이트,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00004,픽닷,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00005,반미362,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00006,아비꼬,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00007,국선생,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00008,견생냥품,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00009,최배달 떡순튀,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00010,피나치공,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00011,새로클린,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00012,점핑하이,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00013,빙달,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00014,JINY's(지니스),선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00015,이원건강의료기,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00016,더홀릭보드게임카페,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00017,타다 라이트(TADA LITE),선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00018,바퀴달린그림책,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00019,바퀴달린그림책,브랜드 데이터 업종과 정렬된 선호 업종 기준으로 재매칭
USR00020,공차,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00021,모닝글로리,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00022,아이디헤어,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00023,통인익스프레스,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00024,도담도담 산후도우미,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00025,잇쇼타코야끼,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00026,레디션(Readytion),선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00027,소낙스 카케어,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00028,송사부고로케,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
USR00029,백스비어,선호 업종에 부합하며 가용자금과 목표수익을 고려해 비용 부담이 적어 적합
